,File Name,Original Language,Translated Language,Translated Transcription,Original Transcription
0,03-52-41_4_1015_kHz_USB_4_1015_kHz.mp3,ru,en,"I am the 21st appointment. I am the 21st appointment. In your area there is an argourman, a snafir and two of our little dinets. I am the 20th reception. I took the 21st reception. Thank you."," Я 21-й прием. Я 21-й прием. В вашем районе аргурмен, снафир и две наши маленькие динечки. Я 20-й прием. Я принял я 21-й прием. Спасибо."
0,websdr_recording_start_2022-03-01T19_09_29Z_10227.0kHz.wav,es,en,aiiiiiii de Jaguar Québec the attention of the abandoned with非 not too much Atlas 1 protector 1 externally 6 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 28 30 32 32 33 34 35 37 39 40 40 42 43 45 47 49 50 50 50 60 60 60 60 70 40 50, aiiiiiii de Jaguar Québec la atención de las abandonadas con非 no lo demasiado Atlas 1 protector 1 externally 6 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 28 30 32 32 33 34 35 37 39 40 40 42 43 45 47 49 50 50 50 60 60 60 60 70 40 50 de la
0,03-52-41_4_1015_kHz_USB_4_1015_kHz.mp3,ru,en,"I am the 21st appointment. I am the 21st appointment. In your area there is an argourman, a snafir and two of our little dinets. I am the 20th reception. I took the 21st reception. Thank you."," Я 21-й прием. Я 21-й прием. В вашем районе аргурмен, снафир и две наши маленькие динечки. Я 20-й прием. Я принял я 21-й прием. Спасибо."
0,websdr_recording_start_2022-02-28T13_12_03Z_10460.0kHz (1).wav,ru,en,"Here sympathetic월tsy write to him about Inserts, and b Eggups are detailed Xia Яgart upon You Yagod is equipped Already I blame surprises No need, it’s not for Bay Yagod is equipped Whack your wings Everything is fine Well, yes, yes All in 8-9, up to 10-10 , wow, than firewood came Everything is accepted, berries I want that ram, from your outfitted Everything, everything, from bay From Bay Berries is equipped have it Thank you I experiments blushen frei iיה stringDB �obs string st Male bl Deb"," Вот ему пишут sympathetic월цы про Inserts, а б Eggups подробны Xia Яgart upon You Ягод снаряжен Уже винаю сюрпризов Не надо, это не за бей Ягод снаряжен Ухит твои крыльники Все нормально Ну да, да Все в 8-9, до 10-10, вау, чем дровка приехал Все принято, ягод Я хочу, что рам, от твоей снаряжен Все, все, от бей От бей Ягод снаряжен Ягод снаряжен Была обидно сроводыша Это вывлитshi Не надо Ну, понятно Просто хорошо вирус Это villain Яг criticize Ага Вот есть это Спасибо Я experiments блушен frei яיה строкаDB �обс строк ст Male бл Deb"
0,websdr_recording_start_2022-02-28T13_12_03Z_10460.0kHz.wav,ru,en,"First igram before arbeitet! Dห enclarian. One for you ignite. Engaged. one, please do not complain. soon. Oiten among barrel topics, need valves...................................... ......................."," Первыйigramя пред arbeitet! Дห enclarian. Один для тебя ignite. Занимается. one, please do not complain. Soon. Оiten среди боч topics, нуж valves.................................................................."
0,websdr_recording_start_2022-03-01T05_49_47Z_10460.0kHz.wav,ru,en,"No, I'm a tunak<|it|>VID� 주 bouz before call with was made in the evening, but good evening, at the end, yes, it's almost evening, that's what I heard myself, heard and heard well, but now here's a tweet for you, and I heard, thank you for the news, you will confirm it, and you will say the message, which means, yes, all the carcass, it was a like, a tester, the reception is real."," Нет, я тунак<|it|>VID� 주 bouz before call с вынешен в вечер, а добрый вечер, на кончавке да, почти вечер, вот это слышал я себя, слышал и неплохо слышал, но сейчас вот твит за тебе нет, и слышал, слава тебе весть, подтвердишь, и весть промолвишь, значит, а да, все тушу, это было лайком, испытатель, прием реально."
0,websdr_recording_start_2022-03-01T05_50_33Z_10460.0kHz.wav,ru,en,"Guys, my friend is free. Sorry. All for now. Mission microphone. Bavansir, First district 7. Koraktoris. Subtitle editor N.Zakomoldina"," Ребята, дружка свободна. Извините. Все пока-пока. Миссия микрофон. Бавансир, Первый район 7. Коракторис. Редактор субтитров Н.Закомолдина"
0,websdr_recording_start_2022-03-01T05_51_30Z_10460.0kHz.wav,ru,en,"illar, 100 earrings, a 10-yiv 1973. Per pigment, g그래s, daroll, Above the head, And gaiety will run away, quarterly, Let's go, weather, I hear yours, ours, I also hear, Nothing defensible, only we will come to the wedge. I understand, we have it 100.30 days, we are just happy. The only thing is not to be captured. I looked all the time, zatrestka, fucking they should capture us. This is Irkutsk, that's enough. Come on good luck, bout to come like these. 73, jamming in Voronezh, weekly, brushing. Here is the sky, beautiful fun, the sun, balgeta. Bye. And great. Expensive. Great. Grunko, dishes. Great, plus 15, etol. Why are you there, it's so driving, look, stand, great, great, good luck to you. What are you, how are you, how are you, I can’t wheeze. Ali at the expense, the franticness did not end there, next to it, which stands straight. No, it won't end. They bought up. hoarse. Accept. Yes Yes Yes Yes. Well, something about, pupusit, himself, visited. Here, lads. Grunko, plus 15. Thank you, I'm all right. OK Bye. I'm glad you. I think that once again I am glad to you, come on, day, and in general. Yes Yes Yes. In the pauses, between you, in the pauses, glory came up there. Slava, oh yes, then I'm running away, not here, I'm waiting. Slafey, lubricate, holy, I. 7-8 points, 7-8 points, glory, es contact, accepted. APPLAUSE","illar,100 earrings,а 10-ив 1973. Пер pigment,г그래с,даролль, Над главы, А убежит веселости, quarterly, Пойдем,погода,слышу вашу,нашу,при тоже слышу, Ничего пооборного,только нас клину приедет. Понял,он у нас 100,30 день,радуемся просто. Единственное,чтобы не захватили. Я все раз смотрел,затрёстка,бля захватить нас должны. Это иркутская,хватит. Давай удачи,бой прийти,как эти. 73,на воронежа глушить,мнедельно,чёстка. Вот небо,красивенное веселье,солнышко,балгета. Пока. А здорово. Дорогие. Здорово. Грунко,блюда. Здорово,плюс 15,этоль. Чё ты там,это так сводишь,смотри,стои,здорово,здорово,я тебя удачи. Чё ты,как ты,как ты,не могу похриповываешь. Али за счёт,не кончилось лихарство там,рядом,которое стоит прямо. Нет,не кончится. Расскупали. Хриповый. Призём. Да,да,да,да. Ну,что-то про,пупусить,сам,навищён. Вот,ладзам. Грунко,плюс 15. Спасибо,всё я в снороку. Давай,пока. Я рада тебя. Я думаю,что ещё раз рада тебе,давай,день,и в общем. Да,да,да. В паузах,между тобой,в паузах,там слава подошёл. Слава,о,да,то убегаю,не тут,ожждаю. Слафей,смасай,святи,я. 7-8 балла,7-8 балла,слав,ес контакт,принял. АПЛОДИСМЕНТЫ"
0,websdr_recording_start_2022-03-01T12_50_45Z_10459.9kHz.wav,ru,en,"To the column. Everything is fine. 9 points. It keeps on 9. It will help great. For breaks. Thank you. From start to finish. Missed. Fine. Under the column. Thank you. Seventy three. All. Went to Moscow. We wish you all the best. Foremost. Fight is healthy. Although they have already said that they did not speak out, like other topics. On the first. Two and a half. Everything is fine. Seventy three. Guys, I haven't received much yet. Sail. Sail. Sail. Pasha Yushin. We answer. It's clear. Haven't heard from you in a while? Yes, I didn't hear. And you yourself. Fine. Accepted. Certainly. Hello. I have 6 cats. 6 cats. Wandered crazy. Peas. Pasha Yushin. Pasha Yushin. Pasha Yushin. Guys. Guys. I will be healthy. And I'll be good. Goodbye. Bye bye. Good luck. Let's educate. There are a couple more. Sail. Sail. Sail. Sail. Sail, welcome. Problem. I do not have. I do not have. Fine. 9-5. Accepted. Yes, Pasha. Pasha, it's loud and good here. How is it necessary. Thanks, Pavel. Good luck and let's go. Seriously, troika, police. Bye. I'll take it badly. Everything is fine. Good luck. Thanks for the approach. Seven-three, see you. Equipment at Koktyuz. Koktuse. What jealousy? Third. Svolev. His. His. His. His. Kind. To big radios. Seriously, triplets. Bye bye. Bye bye. Bye bye. Easily. Five, nine. Blue-grove. Fucus. At the reception. Reception. Hello. Hello. Hello."," На колонку. Все нормально. 9 балликов. На 9-ти держится. Поможет еще прекрасно. На прерывы. Спасибо. До начала до конца. Пропушал. Хорошо. Под колонку. Спасибо. Семьдесят три. Все. Пошла в Москву. Все лучше пожелаем. Самый главный. Бой здоров. Хотя уже сказали, что не отчечинули, как и другие темы. На первом. Двое с половиной. Все нормально. Семьдесят три. Ребята, я еще их мало принял. Парус. Парус. Парус. Паша Юшин. Отвечаем. Понятно. Давно не слышал тебя? Да, я не слышал. А ты же сам. Хорошо. Принял. Конечно. Привет. У меня 6 котов. 6 котов. Безумно забрел. По горошку. Паша Юшин. Паша Юшин. Паша Юшин. Ребята. Ребята. Я буду здоровым. И я буду хорошим. До свидания. Пока-пока. Удачи. Давай воспитывай. Еще есть пару. Парус. Парус. Парус. Парус. Парус, прием. Проблема. У меня нету. У меня нету. Хорошо. 9-5. Принял. Да-да, Паша. Паша, здесь и громко хорошо. Как же надо. Спасибо, Павел. Здоровья тебе и поедем. Серьезка, тройка, полиция. Пока. Занесу плохо. Все нормально. Удачи. Спасибо за подход. Семь-три, до встречи. Аппаратеж на Коктюзе. Коктюзе. Какая ревна? Третий. Сволев. Своем. Своем. Своем. Своем. Доброе. До больших радио. Серьезка, тройни. Пока-пока. Пока-пока. Пока-пока. Легко. Пятерка, девятка. Синь-гровка. Фукус. На приеме. Прием. Привет. Привет. Привет."
0,websdr_recording_start_2022-03-01T12_54_05Z_10459.9kHz.wav,ru,en,"We are sick. Stop fine. Stop fine. Victor, how are you? Do you know what? And then... Do you understand, or what? Hello. Adam Victor, hello everyone. Soon in the Ugansk goneskoyu news. And you will be in Stoynaya. I think that... I think it's an overkill. What are you there? And... Damn. To clap them oak, but damn it. I don't know. Well, there, of course, the Nazis-Natsiks. Guys, we will be in Stopila. And we will ... Always intercede. Now everyone is good. 73. To yours, who with the departure and grandchildren all renovate. Bye bye. Alexander, all the best. I congratulate you. Goodbye."," Стоим на заболе. Стоп прекрасно. Стоп прекрасно. Виктор, как ты там? Знаешь что ли? А потом... Вы понимаете, или как? Привет. Адам Виктор, все привет. Скоро в Уганской гонескою весть. А в Стойной ты будешь. Я думаю, что... Я думаю, это оботороженство. Что вы там? И... Блин. Хохлопать им дуба, но блин. Я не знаю. Ну и там, конечно, нацики-нацики. Ребята, будем в Стопиле. И будем... Вступаться же всегда. Теперь все добрые. 73. Твоим, которые с отедем и внуками все новлюсь. Пока-пока. Александр, всего хорошего. Здоровья поздравлю. До свидания."
